n_arms,fmm_order,qbx_order,err_l2,err_linf
25,3,3,6.63673649604677924e-04,2.54246296816174186e-03
25,3,5,6.66427248372289567e-04,2.48002575123122812e-03
25,3,7,6.66257472457495070e-04,2.47763288054256943e-03
25,3,9,6.66240101066983468e-04,2.47799181433147088e-03
25,5,3,3.36630292849274826e-05,2.37940928498832062e-04
25,5,5,3.50998871837346230e-05,2.54543769810420520e-04
25,5,7,3.52812863687903039e-05,2.54611896660287597e-04
25,5,9,3.52617316629626247e-05,2.54672987859420733e-04
25,10,3,2.70738090016810499e-06,1.11050698207702174e-04
25,10,5,4.98965202226000659e-07,2.07639308350836484e-05
25,10,7,1.57601806657947951e-07,5.17663218391945096e-06
25,10,9,1.55306272492232824e-07,2.49021731808715782e-06
25,15,3,2.70705301195015730e-06,1.11046177476936610e-04
25,15,5,4.91869741274904156e-07,2.07644740296812810e-05
25,15,7,1.26565787373542289e-07,5.17600978237190950e-06
25,15,9,1.22956759875076547e-07,2.49616431597225127e-06
25,20,3,2.70705299849646576e-06,1.11046177941611472e-04
25,20,5,4.91869791585834144e-07,2.07644740147610769e-05
25,20,7,1.26564623482348528e-07,5.17600981101870184e-06
25,20,9,1.22955329023340371e-07,2.49616254432726219e-06
